clean_number,event_number,axis_scatter,numb_pix,energy,size,Xc[0],Yc[0],con2,length[0],width[0],dist[0],dist[1],azwidth[1],miss[1],alpha[0],alpha[1],a_axis[0],b_axis[0],x_max_coord,y_max_coord,skewness,kurtosis,edge,source_x,source_y,x_ground,y_ground,tel_tet,tel_fi,source_tet,source_fi,Xmax,num_islands,con_selected_island
0,1,1,21,192.901,903.418,1.36973,-2.41626,0.343822,0.706498,0.12287,2.7775,2.77758,0.12394,0.0648589,1.33493,1.33803,-1.86397,1.13494,1.2663,-2.19329,0.412741,354.043,1,-0.000172326,-3.10345e-10,485.326,171.931,0.695834,6.21157,0.695834,-0.0716173,409.105,1,1
1,1,4,24,192.901,1388.88,-2.46075,0.71174,0.354539,0.698548,0.166367,2.56161,2.56145,0.166931,0.0517386,1.15847,1.1574,-0.31128,-0.449759,-2.1708,0.626656,0.509002,345.281,1,-0.000172326,-3.10345e-10,-159.734,-333.339,0.695834,6.21157,0.695834,-0.0716173,409.105,1,1
2,1,7,13,192.901,369.733,-0.612322,-3.26415,0.340513,0.551291,0.143484,3.32109,3.32105,0.146999,0.199367,3.43868,3.4416,3.99198,-6.79744,-0.5427,-2.81995,-0.226941,112.988,0,-0.000172326,-3.10345e-10,726.07,-160.236,0.695834,6.21157,0.695834,-0.0716173,409.105,1,1
3,1,9,13,192.901,455.15,0.261173,3.17741,0.388384,0.542986,0.139691,3.18813,3.18814,0.139691,0.00219901,0.0364331,0.0395196,12.2614,-0.206795,0.1809,2.81995,0.0401256,107.732,0,-0.000172326,-3.10345e-10,-680.504,90.0432,0.695834,6.21157,0.695834,-0.0716173,409.105,1,1
4,2,1,5,30.2981,119.634,-2.49045,-0.0303444,0.56616,0.381089,0.0908391,2.49064,2.49049,0.091882,0.0928924,2.1376,2.13756,0.0495323,0.771256,-2.8944,0,-0.557556,24.1858,0,-0.000145135,-2.86654e-10,276.559,-273.81,0.570295,7.05519,0.570295,0.772003,380.335,1,1
5,2,7,14,30.2981,466.107,-1.60575,-0.79327,0.416544,0.523761,0.161558,1.79101,1.79088,0.163037,0.0787811,2.52332,2.52127,0.550062,0.746209,-1.0854,-0.626656,0.552572,111.152,1,-0.000145135,-2.86654e-10,248.136,-67.7066,0.570295,7.05519,0.570295,0.772003,380.335,1,1
6,3,1,19,125.481,705.492,2.40126,1.52732,0.264095,0.726237,0.157264,2.84583,2.84569,0.157284,0.0101109,0.205357,0.203576,0.641095,-0.100464,1.809,1.25331,0.0721337,301.786,0,0.000164779,-3.6746e-10,-328.19,221.475,0.572811,6.6103,0.572811,0.327123,411.241,1,1
7,3,3,26,125.481,2437.51,-1.85617,0.418271,0.456062,0.709922,0.145413,1.90272,1.90288,0.145526,0.015679,0.471011,0.472101,-0.233995,-0.1332,-1.2663,0.313328,1.08853,532.728,1,0.000164779,-3.6746e-10,14.4279,-233.471,0.572811,6.6103,0.572811,0.327123,411.241,1,1
8,3,7,5,125.481,151.253,-1.64314,2.81291,0.705123,0.321049,0.0694218,3.25766,3.25775,0.0703257,0.116805,2.05224,2.05475,-1.86196,-2.04444,-1.6281,2.81995,-0.531553,15.1958,0,0.000164779,-3.6746e-10,-421.609,-424.473,0.572811,6.6103,0.572811,0.327123,411.241,1,1
9,4,3,14,65.454,613.704,0.874302,-2.45203,0.304156,0.616351,0.13339,2.60324,2.60318,0.133392,0.003627,0.0766374,0.0798299,-2.79274,-0.0856467,0.7236,-1.87997,0.0576505,174.074,0,0.000153992,-3.52336e-10,226.906,219.562,0.531141,6.74963,0.531141,0.466453,552.444,1,1
